,Address,Time stamp,Method,URI,status code,User agent
0,192.168.4.25,[22/Dec/2016:16:30:52,POST,/administrator/index.php,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
1,192.168.4.25,[22/Dec/2016:16:29:05,POST,/index.php/component/search/,500.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
2,192.168.4.25,[22/Dec/2016:16:28:53,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
3,192.168.4.25,[22/Dec/2016:16:32:50,POST,/index.php/component/search/,200.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
4,192.168.4.25,[22/Dec/2016:16:29:13,POST,/index.php/component/search/,200.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
5,192.168.4.25,[22/Dec/2016:16:29:33,GET,/index.php/component/search/?searchword=&ordering=alpha&searchphrase=all&areas[0]=newsfeeds,200.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
6,192.168.4.25,[22/Dec/2016:16:24:39,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
7,192.168.4.25,[22/Dec/2016:16:28:52,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
8,192.168.4.25,[22/Dec/2016:16:28:58,POST,/index.php/component/search/,200.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
9,192.168.4.25,[22/Dec/2016:16:21:56,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
10,192.168.4.25,[22/Dec/2016:16:20:49,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
11,192.168.4.25,[22/Dec/2016:16:18:20,GET,/templates/beez_20/css/personal.css,200.0,
12,192.168.4.25,[22/Dec/2016:16:28:11,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
13,192.168.4.25,[22/Dec/2016:16:25:15,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
14,192.168.4.25,[22/Dec/2016:16:26:04,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
15,192.168.4.25,[22/Dec/2016:16:27:34,POST,/index.php/component/search/,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
16,192.168.4.25,[22/Dec/2016:16:28:41,POST,/index.php/component/search/,500.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
17,192.168.4.25,[22/Dec/2016:16:25:45,POST,/index.php/component/search/,200.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
18,192.168.4.25,[22/Dec/2016:16:20:01,GET,/index.php/2-uncategorised/1--1'%20OR%202%2b196-196-1=0%2b0%2b0%2b1%20or%20'01Fg5alL'=',200.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
19,192.168.4.25,[22/Dec/2016:16:39:05,POST,/index.php/component/users/?task=user.login,303.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
20,192.168.4.25,[22/Dec/2016:16:37:41,POST,/index.php/component/users/?task=/etc/passwd,200.0,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML
